RecordID;FirstName;LastName;FullName;Age;Gender;Country;Province;SouthAfricanID;CaseNumber;CrimeType;FinancialScore;EstimatedFraudAmount_ZAR;RiskLevel;CaseStatus;BankInvolved;PreviousOffenses;Arrested;CrimeDate;CourtDate;InvestigatingOfficer;StationCode
1;Brian;Pillay;Brian Pillay;55;Male;South Africa;KwaZulu-Natal;7,60911E+12;SA-CAS-966268;Cybercrime;790;98663;Low;Under Investigation;Capitec;9;No;2016/10/31;2025/10/08;Officer Nkosi;SA-ST-586
2;Sipho;Zulu;Sipho Zulu;65;Female;South Africa;Gauteng;8,0032E+12;SA-CAS-130640;Cybercrime;524;3014385;Low;Closed;Absa;4;Yes;2015/11/20;2023/05/10;Officer Mabena;SA-ST-785
3;Brian;Nkosi;Brian Nkosi;49;Female;South Africa;Gauteng;7,30319E+12;SA-CAS-241102;Cybercrime;436;2525514;High;Under Investigation;Standard Bank;5;Yes;2025/06/29;2020/10/21;Officer Nkosi;SA-ST-568
4;Thabo;Dlamini;Thabo Dlamini;61;Female;South Africa;Free State;6,10123E+12;SA-CAS-207449;Corruption;721;4999005;Low;Closed;Standard Bank;2;No;2020/07/07;2025/09/22;Officer Moyo;SA-ST-654
5;Ayanda;Nkosi;Ayanda Nkosi;54;Female;South Africa;Free State;6,50213E+12;SA-CAS-260733;Cybercrime;528;4233977;Low;Open;Capitec;7;Yes;2023/01/29;2018/06/09;Officer Naidoo;SA-ST-425
6;Brian;Nkosi;Brian Nkosi;62;Male;South Africa;North West;4,01219E+11;SA-CAS-181599;Armed Robbery;335;3118143;Medium;Convicted;Absa;7;Yes;2016/05/08;2019/04/17;Officer Mabena;SA-ST-565
7;Naledi;Pillay;Naledi Pillay;35;Female;South Africa;Limpopo;7,70914E+12;SA-CAS-618192;Armed Robbery;417;4695344;Low;Closed;African Bank;6;No;2019/05/09;2020/04/07;Officer Smith;SA-ST-923
8;Brian;Ndlovu;Brian Ndlovu;34;Female;South Africa;Limpopo;8,21005E+12;SA-CAS-316789;Vehicle Theft;396;2261226;Low;Convicted;Standard Bank;7;Yes;2025/03/28;2025/03/27;Officer Smith;SA-ST-589
9;Lerato;Zulu;Lerato Zulu;28;Female;South Africa;Gauteng;6,70409E+12;SA-CAS-139338;Drug Trafficking;397;1477972;Critical;Closed;FNB;8;Yes;2022/02/26;2024/07/31;Officer Naidoo;SA-ST-877
10;Ayanda;Pillay;Ayanda Pillay;25;Female;South Africa;Western Cape;2,04283E+11;SA-CAS-783999;Identity Theft;594;212442;Low;Convicted;Nedbank;9;No;2022/08/17;2016/12/05;Officer Moyo;SA-ST-578
11;Sipho;Naidoo;Sipho Naidoo;55;Female;South Africa;Free State;3,10128E+11;SA-CAS-966210;Fraud;368;4173407;High;Convicted;African Bank;8;No;2023/08/13;2020/01/15;Officer Naidoo;SA-ST-587
12;Thabo;Dlamini;Thabo Dlamini;50;Male;South Africa;Gauteng;4,02122E+11;SA-CAS-989254;Cybercrime;683;3965402;Critical;Convicted;Standard Bank;8;Yes;2019/12/29;2016/08/09;Officer Smith;SA-ST-119
13;Mpho;Nkosi;Mpho Nkosi;36;Female;South Africa;Mpumalanga;5,04111E+11;SA-CAS-975210;Armed Robbery;530;23205;High;Closed;FNB;2;No;2021/09/25;2016/04/07;Officer Moyo;SA-ST-760
14;Thabo;Mabaso;Thabo Mabaso;37;Male;South Africa;Eastern Cape;8,20424E+12;SA-CAS-295745;Corruption;731;2189125;Low;Open;FNB;3;Yes;2016/04/14;2019/06/17;Officer Mabena;SA-ST-523
15;Sipho;Khumalo;Sipho Khumalo;64;Male;South Africa;Gauteng;7,80827E+12;SA-CAS-886297;Money Laundering;383;3990323;High;Court Pending;African Bank;7;Yes;2024/12/24;2021/12/18;Officer Smith;SA-ST-151
16;Nomsa;Pillay;Nomsa Pillay;20;Male;South Africa;KwaZulu-Natal;3,06228E+11;SA-CAS-120176;Armed Robbery;472;1432340;Low;Court Pending;Standard Bank;7;Yes;2016/07/17;2018/03/07;Officer Nkosi;SA-ST-575
17;Mpho;Nkosi;Mpho Nkosi;21;Female;South Africa;Mpumalanga;8,51012E+12;SA-CAS-881818;Fraud;363;3955685;Critical;Open;Nedbank;6;No;2024/04/20;2018/09/02;Officer Mabena;SA-ST-450
18;Brian;Nkosi;Brian Nkosi;59;Male;South Africa;Eastern Cape;8,90403E+12;SA-CAS-970131;Armed Robbery;483;100911;Critical;Under Investigation;Standard Bank;6;Yes;2018/05/26;2023/07/30;Officer Nkosi;SA-ST-881
19;Mpho;Dlamini;Mpho Dlamini;24;Female;South Africa;Northern Cape;9,60423E+12;SA-CAS-480086;Money Laundering;677;4786855;Medium;Open;Standard Bank;9;No;2022/11/25;2020/02/08;Officer Nkosi;SA-ST-421
20;Ayanda;Zulu;Ayanda Zulu;38;Male;South Africa;Free State;7,20921E+12;SA-CAS-864455;Corruption;800;3369169;Medium;Convicted;Standard Bank;8;No;2023/07/06;2017/04/13;Officer Moyo;SA-ST-374
21;Mpho;Mthembu;Mpho Mthembu;41;Female;South Africa;Limpopo;1,09238E+11;SA-CAS-312978;Cybercrime;578;3377134;Low;Convicted;Absa;4;Yes;2022/02/02;2015/12/21;Officer Naidoo;SA-ST-752
22;Tendai;Khumalo;Tendai Khumalo;37;Female;South Africa;KwaZulu-Natal;8,61118E+12;SA-CAS-597821;Armed Robbery;772;769280;Critical;Open;Nedbank;0;Yes;2025/10/21;2017/06/27;Officer Naidoo;SA-ST-539
23;Zanele;Mthembu;Zanele Mthembu;46;Male;South Africa;Free State;9,50215E+12;SA-CAS-971940;Fraud;679;676703;Low;Under Investigation;Nedbank;7;No;2022/09/15;2024/08/02;Officer Mabena;SA-ST-218
24;Sipho;Mthembu;Sipho Mthembu;35;Female;South Africa;Limpopo;9,10105E+12;SA-CAS-565934;Identity Theft;646;1472079;Low;Convicted;African Bank;6;No;2016/04/02;2018/03/30;Officer Mabena;SA-ST-288
25;Tendai;Khumalo;Tendai Khumalo;36;Female;South Africa;Western Cape;8,80626E+12;SA-CAS-115816;Identity Theft;696;2407024;Low;Convicted;Standard Bank;0;No;2023/01/20;2015/11/22;Officer Moyo;SA-ST-308
26;Naledi;Mthembu;Naledi Mthembu;26;Male;South Africa;Northern Cape;7,20402E+12;SA-CAS-216662;Drug Trafficking;370;4304643;Medium;Court Pending;FNB;10;No;2016/08/08;2018/12/03;Officer Naidoo;SA-ST-308
27;Thabo;Zulu;Thabo Zulu;26;Male;South Africa;Northern Cape;2,1028E+11;SA-CAS-304408;Identity Theft;824;1604354;Critical;Open;African Bank;5;Yes;2019/08/24;2023/02/26;Officer Mabena;SA-ST-359
28;Tendai;Zulu;Tendai Zulu;40;Male;South Africa;North West;6,11118E+12;SA-CAS-167862;Cybercrime;683;3166846;Medium;Under Investigation;Capitec;0;Yes;2018/07/16;2016/04/01;Officer Nkosi;SA-ST-144
29;Thabo;Naidoo;Thabo Naidoo;43;Female;South Africa;North West;5,01238E+11;SA-CAS-368783;Vehicle Theft;652;126463;High;Convicted;FNB;5;No;2025/04/18;2017/06/12;Officer Mabena;SA-ST-876
30;Tendai;Mabaso;Tendai Mabaso;51;Male;South Africa;KwaZulu-Natal;1,08165E+11;SA-CAS-690433;Drug Trafficking;313;2183901;Medium;Closed;Absa;3;Yes;2025/01/12;2020/04/04;Officer Mabena;SA-ST-386
31;Nomsa;Mabaso;Nomsa Mabaso;23;Female;South Africa;Mpumalanga;6,30223E+12;SA-CAS-305366;Identity Theft;415;3122446;Critical;Open;Capitec;10;No;2021/10/02;2017/11/20;Officer Moyo;SA-ST-122
32;Ayanda;Pillay;Ayanda Pillay;26;Female;South Africa;Gauteng;6,60719E+12;SA-CAS-201212;Money Laundering;654;4610390;Medium;Closed;African Bank;5;No;2019/03/12;2017/03/06;Officer Smith;SA-ST-742
33;Naledi;Naidoo;Naledi Naidoo;28;Male;South Africa;Eastern Cape;9,10716E+12;SA-CAS-350831;Cybercrime;378;852475;Low;Open;Standard Bank;7;Yes;2019/07/20;2024/12/29;Officer Mabena;SA-ST-610
34;Brian;Mabaso;Brian Mabaso;30;Female;South Africa;Gauteng;7,70616E+12;SA-CAS-248847;Armed Robbery;336;44907;Medium;Convicted;Nedbank;9;No;2022/10/23;2019/12/10;Officer Naidoo;SA-ST-459
35;Naledi;Nkosi;Naledi Nkosi;48;Female;South Africa;Eastern Cape;7,90703E+12;SA-CAS-829032;Money Laundering;454;2547542;Critical;Under Investigation;Capitec;7;No;2022/05/16;2025/02/16;Officer Nkosi;SA-ST-997
36;Lerato;Mabaso;Lerato Mabaso;23;Male;South Africa;Free State;9,51006E+12;SA-CAS-523431;Fraud;371;2743378;High;Open;Nedbank;6;No;2023/03/04;2015/01/16;Officer Nkosi;SA-ST-158
37;Sipho;Mabaso;Sipho Mabaso;63;Male;South Africa;Free State;6,80912E+12;SA-CAS-452571;Cybercrime;750;3410875;Critical;Open;Capitec;7;Yes;2017/10/25;2024/07/01;Officer Nkosi;SA-ST-574
38;Thabo;Ndlovu;Thabo Ndlovu;20;Female;South Africa;Northern Cape;7,80108E+12;SA-CAS-278074;Vehicle Theft;644;4895893;Medium;Open;Standard Bank;2;Yes;2018/06/20;2021/04/28;Officer Smith;SA-ST-849
39;Brian;Mthembu;Brian Mthembu;25;Female;South Africa;Limpopo;7,50508E+12;SA-CAS-108381;Armed Robbery;700;334005;Medium;Open;Standard Bank;6;Yes;2015/02/06;2016/10/25;Officer Mabena;SA-ST-344
40;Naledi;Pillay;Naledi Pillay;48;Female;South Africa;Northern Cape;9,70208E+12;SA-CAS-589007;Drug Trafficking;350;3843700;Medium;Court Pending;Absa;1;No;2020/07/12;2016/10/16;Officer Naidoo;SA-ST-764
41;Ayanda;Dlamini;Ayanda Dlamini;22;Male;South Africa;Eastern Cape;1,10036E+11;SA-CAS-884757;Identity Theft;313;3613743;Medium;Court Pending;Nedbank;0;Yes;2018/10/06;2019/05/07;Officer Moyo;SA-ST-547
42;Zanele;Dlamini;Zanele Dlamini;28;Male;South Africa;Free State;9,10422E+12;SA-CAS-205154;Drug Trafficking;376;2966746;High;Under Investigation;FNB;3;No;2018/05/01;2015/12/27;Officer Moyo;SA-ST-620
43;Brian;Zulu;Brian Zulu;43;Male;South Africa;North West;6,50318E+12;SA-CAS-517040;Identity Theft;622;176220;Low;Open;Nedbank;2;No;2023/02/03;2023/07/10;Officer Smith;SA-ST-611
44;Naledi;Mabaso;Naledi Mabaso;49;Female;South Africa;Eastern Cape;9,60227E+12;SA-CAS-547070;Cybercrime;785;432512;Critical;Under Investigation;Capitec;9;Yes;2021/12/09;2023/08/28;Officer Naidoo;SA-ST-165
45;Thabo;Naidoo;Thabo Naidoo;24;Female;South Africa;Gauteng;7,81011E+12;SA-CAS-277257;Drug Trafficking;659;1377760;Low;Convicted;Standard Bank;5;No;2022/11/08;2023/08/18;Officer Moyo;SA-ST-158
46;Naledi;Mabaso;Naledi Mabaso;40;Male;South Africa;Mpumalanga;7,60407E+12;SA-CAS-982006;Money Laundering;824;3718370;Medium;Closed;Nedbank;8;Yes;2024/02/16;2020/02/24;Officer Mabena;SA-ST-172
47;Nomsa;Nkosi;Nomsa Nkosi;19;Male;South Africa;Limpopo;9,40904E+12;SA-CAS-725162;Cybercrime;703;1485337;High;Closed;Capitec;7;No;2019/05/19;2021/12/25;Officer Mabena;SA-ST-621
48;Thabo;Mabaso;Thabo Mabaso;50;Female;South Africa;Gauteng;8,70513E+12;SA-CAS-102433;Fraud;594;3505471;Low;Open;Capitec;5;No;2023/01/06;2019/05/05;Officer Nkosi;SA-ST-467
49;Thabo;Dlamini;Thabo Dlamini;63;Female;South Africa;Western Cape;8,70827E+12;SA-CAS-638806;Corruption;506;2833845;Medium;Under Investigation;Nedbank;10;No;2018/10/13;2020/11/19;Officer Moyo;SA-ST-315
50;Mpho;Zulu;Mpho Zulu;53;Male;South Africa;KwaZulu-Natal;8,60329E+12;SA-CAS-331104;Armed Robbery;844;2682473;High;Under Investigation;Nedbank;6;Yes;2015/09/09;2015/03/16;Officer Naidoo;SA-ST-694
51;Tendai;Zulu;Tendai Zulu;46;Male;South Africa;Western Cape;9,70214E+12;SA-CAS-916414;Cybercrime;348;600873;Critical;Court Pending;Capitec;9;No;2021/11/06;2024/02/19;Officer Mabena;SA-ST-799
52;Sipho;Dlamini;Sipho Dlamini;42;Female;South Africa;Mpumalanga;1,04238E+11;SA-CAS-160899;Identity Theft;549;3770133;Medium;Court Pending;African Bank;10;Yes;2022/06/25;2024/05/14;Officer Naidoo;SA-ST-181
53;Naledi;Ndlovu;Naledi Ndlovu;49;Female;South Africa;Gauteng;2,12183E+11;SA-CAS-342188;Identity Theft;590;977920;Critical;Closed;Standard Bank;10;No;2018/07/31;2018/12/17;Officer Nkosi;SA-ST-706
54;Naledi;Ndlovu;Naledi Ndlovu;50;Female;South Africa;Western Cape;7,60605E+12;SA-CAS-305257;Fraud;322;2473153;Medium;Court Pending;Absa;9;Yes;2016/07/16;2025/10/10;Officer Smith;SA-ST-215
55;Nomsa;Pillay;Nomsa Pillay;28;Male;South Africa;Limpopo;6,20513E+12;SA-CAS-922155;Money Laundering;402;1854336;Low;Closed;Nedbank;7;Yes;2020/01/26;2015/08/25;Officer Smith;SA-ST-514
56;Lerato;Nkosi;Lerato Nkosi;34;Male;South Africa;Free State;7,60119E+12;SA-CAS-198833;Corruption;818;3181274;Medium;Court Pending;Capitec;9;Yes;2016/05/19;2020/10/04;Officer Mabena;SA-ST-530
57;Zanele;Nkosi;Zanele Nkosi;20;Female;South Africa;KwaZulu-Natal;6,40118E+12;SA-CAS-894557;Armed Robbery;543;149928;Critical;Convicted;Standard Bank;0;No;2023/08/23;2019/12/30;Officer Nkosi;SA-ST-139
58;Lerato;Pillay;Lerato Pillay;57;Female;South Africa;Mpumalanga;10073791075;SA-CAS-658006;Drug Trafficking;746;4587152;High;Closed;FNB;10;Yes;2020/03/17;2019/08/18;Officer Smith;SA-ST-834
59;Thabo;Nkosi;Thabo Nkosi;61;Female;South Africa;North West;6,30711E+12;SA-CAS-982643;Fraud;319;4614159;Low;Closed;Absa;9;No;2018/09/02;2015/03/18;Officer Mabena;SA-ST-184
60;Tendai;Pillay;Tendai Pillay;36;Male;South Africa;Eastern Cape;8,51024E+12;SA-CAS-909187;Cybercrime;765;4639622;Critical;Closed;African Bank;9;Yes;2020/07/26;2024/11/24;Officer Nkosi;SA-ST-140
61;Ayanda;Zulu;Ayanda Zulu;44;Female;South Africa;Limpopo;2,05095E+11;SA-CAS-845149;Cybercrime;492;2036616;Critical;Court Pending;FNB;2;No;2021/04/25;2024/08/08;Officer Naidoo;SA-ST-621
62;Naledi;Mabaso;Naledi Mabaso;63;Female;South Africa;KwaZulu-Natal;8,80911E+12;SA-CAS-648176;Armed Robbery;321;1098054;High;Open;FNB;10;Yes;2022/12/24;2024/10/24;Officer Moyo;SA-ST-750
63;Ayanda;Mthembu;Ayanda Mthembu;26;Male;South Africa;Eastern Cape;6,61028E+12;SA-CAS-231261;Armed Robbery;568;1036919;Critical;Closed;Standard Bank;4;Yes;2020/01/03;2024/10/19;Officer Naidoo;SA-ST-474
64;Mpho;Mthembu;Mpho Mthembu;32;Female;South Africa;Western Cape;7,50424E+12;SA-CAS-976198;Cybercrime;416;781758;High;Closed;Absa;0;No;2016/06/02;2016/03/03;Officer Mabena;SA-ST-344
65;Naledi;Nkosi;Naledi Nkosi;30;Male;South Africa;KwaZulu-Natal;6,30815E+12;SA-CAS-748346;Fraud;811;2910197;Low;Convicted;Capitec;3;No;2020/06/06;2020/06/22;Officer Nkosi;SA-ST-244
66;Lerato;Dlamini;Lerato Dlamini;21;Male;South Africa;Gauteng;8,71214E+12;SA-CAS-455635;Cybercrime;690;888403;Low;Closed;Nedbank;0;Yes;2019/07/08;2019/08/19;Officer Smith;SA-ST-475
67;Nomsa;Mthembu;Nomsa Mthembu;24;Male;South Africa;Free State;7,20905E+12;SA-CAS-995174;Corruption;775;2852573;Low;Closed;Absa;2;No;2017/04/28;2015/10/27;Officer Naidoo;SA-ST-241
68;Zanele;Dlamini;Zanele Dlamini;63;Male;South Africa;Limpopo;7,90917E+12;SA-CAS-621116;Fraud;406;3812205;High;Closed;Nedbank;4;No;2017/06/29;2024/03/12;Officer Moyo;SA-ST-283
69;Zanele;Nkosi;Zanele Nkosi;31;Male;South Africa;Northern Cape;8,00225E+12;SA-CAS-264638;Corruption;716;2640182;Medium;Closed;Nedbank;1;Yes;2022/05/19;2016/07/19;Officer Nkosi;SA-ST-898
70;Sipho;Mthembu;Sipho Mthembu;44;Female;South Africa;Free State;9,50212E+12;SA-CAS-662113;Corruption;619;4016567;Medium;Closed;African Bank;5;No;2023/06/18;2024/03/04;Officer Nkosi;SA-ST-192
71;Thabo;Dlamini;Thabo Dlamini;25;Female;South Africa;Northern Cape;9,10608E+12;SA-CAS-116666;Fraud;383;1435993;Critical;Convicted;FNB;7;No;2022/11/17;2022/03/02;Officer Nkosi;SA-ST-152
72;Naledi;Ndlovu;Naledi Ndlovu;27;Male;South Africa;KwaZulu-Natal;9,10501E+12;SA-CAS-492072;Corruption;770;1496482;High;Open;FNB;2;No;2025/05/22;2015/01/28;Officer Nkosi;SA-ST-558
73;Naledi;Dlamini;Naledi Dlamini;31;Male;South Africa;Northern Cape;7,50219E+12;SA-CAS-155723;Armed Robbery;313;3516200;Critical;Under Investigation;African Bank;6;No;2018/02/14;2024/10/07;Officer Moyo;SA-ST-754
74;Nomsa;Dlamini;Nomsa Dlamini;23;Male;South Africa;Western Cape;9,61228E+12;SA-CAS-848677;Money Laundering;556;3160052;Medium;Convicted;Capitec;7;No;2018/10/17;2016/07/21;Officer Moyo;SA-ST-361
75;Sipho;Khumalo;Sipho Khumalo;38;Male;South Africa;Northern Cape;3,03022E+11;SA-CAS-264838;Corruption;469;2122026;Critical;Court Pending;African Bank;0;No;2015/06/05;2019/05/05;Officer Naidoo;SA-ST-552
76;Naledi;Zulu;Naledi Zulu;38;Male;South Africa;Free State;4,12268E+11;SA-CAS-938553;Vehicle Theft;303;137147;Medium;Court Pending;Capitec;9;Yes;2022/07/18;2025/11/14;Officer Nkosi;SA-ST-619
77;Zanele;Ndlovu;Zanele Ndlovu;49;Male;South Africa;Western Cape;4,05075E+11;SA-CAS-864385;Fraud;818;74024;Critical;Under Investigation;Absa;1;No;2024/02/22;2016/10/18;Officer Nkosi;SA-ST-716
78;Tendai;Naidoo;Tendai Naidoo;65;Male;South Africa;Northern Cape;9,30303E+12;SA-CAS-849941;Drug Trafficking;400;4555964;High;Convicted;Absa;0;No;2024/06/25;2025/11/26;Officer Nkosi;SA-ST-593
79;Tendai;Ndlovu;Tendai Ndlovu;63;Female;South Africa;Gauteng;9,90218E+12;SA-CAS-276355;Cybercrime;549;2826933;High;Under Investigation;African Bank;10;No;2025/08/22;2016/03/03;Officer Mabena;SA-ST-466
80;Sipho;Dlamini;Sipho Dlamini;25;Male;South Africa;Northern Cape;9,01008E+12;SA-CAS-771582;Vehicle Theft;719;2844648;Low;Open;Absa;10;Yes;2020/12/26;2019/10/07;Officer Nkosi;SA-ST-196
81;Sipho;Pillay;Sipho Pillay;56;Female;South Africa;Free State;9,3112E+12;SA-CAS-605118;Corruption;638;2205155;Critical;Court Pending;Nedbank;9;No;2016/06/25;2022/11/25;Officer Smith;SA-ST-539
82;Ayanda;Nkosi;Ayanda Nkosi;58;Male;South Africa;KwaZulu-Natal;9,71017E+12;SA-CAS-279655;Corruption;605;2630539;Critical;Convicted;African Bank;5;No;2020/07/18;2025/07/15;Officer Nkosi;SA-ST-393
83;Thabo;Nkosi;Thabo Nkosi;31;Male;South Africa;Free State;8,4042E+12;SA-CAS-513834;Fraud;712;840555;High;Convicted;Nedbank;5;No;2015/09/14;2020/09/01;Officer Smith;SA-ST-292
84;Lerato;Pillay;Lerato Pillay;62;Male;South Africa;Mpumalanga;8,10325E+12;SA-CAS-929467;Corruption;521;2005631;Critical;Convicted;African Bank;7;Yes;2018/10/04;2024/04/13;Officer Naidoo;SA-ST-977
85;Brian;Mabaso;Brian Mabaso;25;Male;South Africa;Northern Cape;9,40523E+12;SA-CAS-376109;Money Laundering;473;4736183;Low;Court Pending;FNB;6;No;2020/07/26;2019/06/16;Officer Nkosi;SA-ST-851
86;Lerato;Mokoena;Lerato Mokoena;27;Male;South Africa;Gauteng;8,60502E+12;SA-CAS-619047;Cybercrime;583;3815511;Low;Convicted;Standard Bank;8;No;2024/06/16;2017/03/18;Officer Mabena;SA-ST-708
87;Mpho;Naidoo;Mpho Naidoo;57;Male;South Africa;Gauteng;6,30924E+12;SA-CAS-344757;Money Laundering;430;1292011;Medium;Open;Absa;6;No;2025/06/19;2023/03/15;Officer Nkosi;SA-ST-447
88;Tendai;Mabaso;Tendai Mabaso;39;Male;South Africa;Gauteng;8,60522E+12;SA-CAS-866302;Vehicle Theft;425;2905287;Critical;Convicted;Capitec;3;No;2019/12/09;2018/12/11;Officer Mabena;SA-ST-906
